spending_txid,vin_index,input_txid,input_vout,value_btc,generated,created_height,tip_height,age_blocks,age_days,note
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,19,296280b646d17c97d795d44604de2aadc09ac2ba0236634e0335ad8a5c122e44,0,0.00133418,False,968196,968282,86,0.5972,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,20,29ce432a82e0e88053cafacd19241b8c14c4b3b8803c5a1bd6c3cf6e8e88d98c,8,0.00071214,False,964361,968282,3921,27.2292,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,21,2b25e29871c2bc45a0a82b1fbecfc9e2afd0dc48d9136bb2bcfcbede73f0f7e9,26,0.00070851,False,967192,968282,1090,7.5694,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,22,2bcb9a10a7fdfcffc167731de886fd46dfe0f321accb023e03bb35b74577035f,0,0.00108615,False,968201,968282,81,0.5625,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,23,2cc31d6abdad7621358044744b0d0da2a1003272ae62cb03285fad29a4453b1d,10,0.00073,False,964358,968282,3924,27.25,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,24,2e2aa7881972959a8a1e71d25952485077d0644a938a097bd0f7e89c785ed95c,0,0.00577553,False,968217,968282,65,0.4514,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,25,2f9fd9a4e2dbfe61b1b197b4e6a85980727f97631ede4613e1d918e294c1bba9,7,0.00100569,False,968218,968282,64,0.4444,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,26,2fc52e1383115735eebf66ec303e462a1c01d480dbe5f20cef552334c18abf57,0,0.00577944,False,968205,968282,77,0.5347,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,27,301411941d67ab5d9ef6d06e6ca82ad27cd735a4bf6bd1801ff45d7a56b222d5,11,0.00073392,False,968074,968282,208,1.4444,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,28,37593f5c8a0bc24d457c7ef16dcd00076ba546e391ae6db5767cf7ad293711de,22,0.00081274,False,968202,968282,80,0.5556,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,29,38d70af16aa3aab93e589692e84708e3f3c5424273672422fc6bef55096a2578,0,0.00577801,False,968216,968282,66,0.4583,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,30,38d98860eb2b5ba52e1d611d695f6a7382c055d16436206a8872e99e67ae7fee,0,0.00079171,False,968274,968282,8,0.0556,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,31,39d53249a940be5ff436205401e4fbded4d478cf2ee56ecec705a855ba410c02,9,0.00830678,False,968202,968282,80,0.5556,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,32,3ecd95746004f9419415c0499fac0a21e9dc9d534dddb14be5a46b165cf54840,0,0.00073,False,966568,968282,1714,11.9028,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,33,430014c96dc549a446c273436b53523fecf38c76a543bdf22db316e4981929d3,0,0.01615895,False,968231,968282,51,0.3542,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,34,45caa8c1e894e5f21534db6b7199c5369d243835daa6a6c0493da1b5abc5afcf,2,0.00269699,False,968204,968282,78,0.5417,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,35,485c3fe342a0348394ee7c087b3775a0b89589f2200fbc88d407ff41bed9e779,0,0.0007112,False,965882,968282,2400,16.6667,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,36,4a07b443d48f9b351836a09e52cacf4798431579ac44fd266d33d0fcb0ec2403,0,0.00070421,False,963278,968282,5004,34.75,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,37,4a53454ce81fc822a95bc24250c4284dd47919ad6e93e08ac530ddc42dc8eee6,0,0.00577427,False,968216,968282,66,0.4583,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,38,4a6327264ade65f3175b8c4c6ac3f2c118bbeb9045584b496b1ec40e1afe16b7,0,0.00072514,False,967930,968282,352,2.4444,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,39,4b01f6d6f825da0f738ce8c7a34719b24e8cb24a953d53376f0cda22faf735a9,3,0.0150178,False,968202,968282,80,0.5556,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,40,4d45f1f559ce7b6c060c92d273e441ea129550da99931520e772f9e7219d3178,26,0.00073039,False,963460,968282,4822,33.4861,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,41,4e0b37ddbff45e6e05964d98077cd8ccd7eee33e6d365f43d18b51ff9ab951d4,2,0.00071652,False,967315,968282,967,6.7153,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,42,54b623229612027e8668f4193aa37dc6703b3efb969cdca044ba7d52622065e8,0,0.0069624,False,968202,968282,80,0.5556,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,43,590bcc5a9422499ac379b1850a938f733485b61ef3a3b6631885c1abe706674e,2,0.00073423,False,963322,968282,4960,34.4444,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,44,5c6a6b258194f553c14b28755617bd06348fc49127419fa18a90da63bd15c255,5,0.01034761,False,968201,968282,81,0.5625,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,45,5caf05acf5f56bf04399030bbf5c0dae717919deba3a5f47f29359a1b6320e5d,16,0.01134211,False,968254,968282,28,0.1944,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,46,5ecf687a41dbe37b061ab4e94c7e0a64554ee0eac90a6b4e02315db39456d3c5,3,0.000729,False,968041,968282,241,1.6736,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,47,5f6e53d34f094b2458c2d0db048a4255a769c53bfc630d05c65463cb1f492709,5,0.00163902,False,968198,968282,84,0.5833,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,48,60100f067725aa5cf1df07248ec130e55c9be9b651e844d0117ea02c6e03d286,0,0.01169536,False,968202,968282,80,0.5556,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,49,619464855329dedc68dfa0309842101b402aba2ef96005afa5aca5a21cee9a02,6,0.00072,False,963239,968282,5043,35.0208,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,50,6263859857cecc73e1b67447464dcbb92847f897e0fd9b53b6282a0158df29a3,0,0.00096209,False,968212,968282,70,0.4861,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,51,62a24c4e54ea9e065c6130a2bef9038caa0fd8673e70e2819ff8d15d3c85d6dd,0,0.00072603,False,965236,968282,3046,21.1528,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,52,6338cb1e5e173f7873ee81cdab316d6ecbbcc6b769abd5f113eb2a80f7fc769d,15,0.00071878,False,964301,968282,3981,27.6458,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,53,66452a87e99efe7fa778e19ecb2028f0934a4b120c41c6e0c31d247ec1600b94,0,0.00073429,False,966515,968282,1767,12.2708,
